provider,region,code,date,measure,value
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2019-01-11,Arriving by ambulance,97
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2019-01-11,Arriving by ambulance,49
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2019-01-11,Arriving by ambulance,154
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2019-01-11,Arriving by ambulance,172
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2019-01-11,Arriving by ambulance,79
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2019-01-11,Arriving by ambulance,168
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2019-01-11,Arriving by ambulance,186
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2019-01-11,Arriving by ambulance,129
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2019-01-11,Arriving by ambulance,151
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2019-01-11,Arriving by ambulance,123
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2019-01-11,Arriving by ambulance,76
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2019-01-11,Arriving by ambulance,94
Whittington Health NHS Trust,London Commissioning Region,RKE,2019-01-11,Arriving by ambulance,65
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2019-01-11,Arriving by ambulance,121
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2019-01-11,Arriving by ambulance,60
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2019-01-11,Arriving by ambulance,34
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2019-01-11,Arriving by ambulance,104
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2019-01-11,Arriving by ambulance,77
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2019-01-11,Arriving by ambulance,96
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2019-01-11,Arriving by ambulance,211
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2019-01-11,Arriving by ambulance,49
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2019-01-11,Arriving by ambulance,58
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2019-01-11,Arriving by ambulance,89
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2019-01-11,Arriving by ambulance,91
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2019-01-11,Arriving by ambulance,69
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2019-01-11,Arriving by ambulance,81
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2019-01-11,Arriving by ambulance,128
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2019-01-11,Arriving by ambulance,149
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2019-01-11,Arriving by ambulance,92
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2019-01-11,Arriving by ambulance,170
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2019-01-11,Arriving by ambulance,172
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2019-01-11,Arriving by ambulance,113
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2019-01-11,Arriving by ambulance,123
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2019-01-11,Arriving by ambulance,62
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2019-01-11,Arriving by ambulance,90
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2019-01-11,Arriving by ambulance,139
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2019-01-11,Arriving by ambulance,56
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2019-01-11,Arriving by ambulance,53
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2019-01-11,Arriving by ambulance,182
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2019-01-11,Arriving by ambulance,140
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2019-01-11,Arriving by ambulance,368
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2019-01-11,Arriving by ambulance,151
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2019-01-11,Arriving by ambulance,198
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2019-01-11,Arriving by ambulance,194
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2019-01-11,Arriving by ambulance,244
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2019-01-11,Arriving by ambulance,94
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2019-01-11,Arriving by ambulance,80
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2019-01-11,Arriving by ambulance,58
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2019-01-11,Arriving by ambulance,157
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2019-01-11,Arriving by ambulance,59
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2019-01-11,Arriving by ambulance,83
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2019-01-11,Arriving by ambulance,31
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2019-01-11,Arriving by ambulance,17
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2019-01-11,Arriving by ambulance,72
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2019-01-11,Arriving by ambulance,109
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2019-01-11,Arriving by ambulance,91
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2019-01-11,Arriving by ambulance,114
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2019-01-11,Arriving by ambulance,106
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2019-01-11,Arriving by ambulance,110
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2019-01-11,Arriving by ambulance,0
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2019-01-11,Arriving by ambulance,151
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2019-01-11,Arriving by ambulance,138
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2019-01-11,Arriving by ambulance,40
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2019-01-11,Arriving by ambulance,132
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2019-01-11,Arriving by ambulance,74
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2019-01-11,Arriving by ambulance,32
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2019-01-11,Arriving by ambulance,142
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2019-01-11,Arriving by ambulance,88
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2019-01-11,Arriving by ambulance,201
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2019-01-11,Arriving by ambulance,204
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2019-01-11,Arriving by ambulance,72
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2019-01-11,Arriving by ambulance,156
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2019-01-11,Arriving by ambulance,89
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2019-01-11,Arriving by ambulance,71
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2019-01-11,Arriving by ambulance,65
Northumbria Healthcare NHS Foundation Trust,North Of England Commissioning Region,RTF,2019-01-11,Arriving by ambulance,132
Pennine Acute Hospitals NHS Trust,North Of England Commissioning Region,RW6,2019-01-11,Arriving by ambulance,228
Royal Liverpool and Broadgreen University Hospitals NHS Trust,North Of England Commissioning Region,RQ6,2019-01-11,Arriving by ambulance,88
Salford Royal NHS Foundation Trust,North Of England Commissioning Region,RM3,2019-01-11,Arriving by ambulance,88
Sheffield Children's NHS Foundation Trust,North Of England Commissioning Region,RCU,2019-01-11,Arriving by ambulance,16
Sheffield Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RHQ,2019-01-11,Arriving by ambulance,150
South Tees Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTR,2019-01-11,Arriving by ambulance,96
South Tyneside NHS Foundation Trust,North Of England Commissioning Region,RE9,2019-01-11,Arriving by ambulance,39
Southport and Ormskirk Hospital NHS Trust,North Of England Commissioning Region,RVY,2019-01-11,Arriving by ambulance,50
St Helens and Knowsley Hospital Services NHS Trust,North Of England Commissioning Region,RBN,2019-01-11,Arriving by ambulance,99
Stockport NHS Foundation Trust,North Of England Commissioning Region,RWJ,2019-01-11,Arriving by ambulance,84
Tameside and Glossop Integrated Care NHS Foundation Trust,North Of England Commissioning Region,RMP,2019-01-11,Arriving by ambulance,81
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTD,2019-01-11,Arriving by ambulance,87
The Rotherham NHS Foundation Trust,North Of England Commissioning Region,RFR,2019-01-11,Arriving by ambulance,89
University Hospitals of Morecambe Bay NHS Foundation Trust,North Of England Commissioning Region,RTX,2019-01-11,Arriving by ambulance,80
Warrington and Halton Hospitals NHS Foundation Trust,North Of England Commissioning Region,RWW,2019-01-11,Arriving by ambulance,75
Wirral University Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RBL,2019-01-11,Arriving by ambulance,79
"Wrightington, Wigan and Leigh NHS Foundation Trust",North Of England Commissioning Region,RRF,2019-01-11,Arriving by ambulance,73
York Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RCB,2019-01-11,Arriving by ambulance,144
Ashford and St Peter's Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTK,2019-01-11,Arriving by ambulance,83
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2019-01-11,Arriving by ambulance,104
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2019-01-11,Arriving by ambulance,54
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2019-01-11,Arriving by ambulance,86
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2019-01-11,Arriving by ambulance,208
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2019-01-11,Arriving by ambulance,114
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2019-01-11,Arriving by ambulance,207
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2019-01-11,Arriving by ambulance,112
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2019-01-11,Arriving by ambulance,34
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2019-01-11,Arriving by ambulance,115
Medway NHS Foundation Trust,South East of England Commissioning Region,RPA,2019-01-11,Arriving by ambulance,110
Oxford University Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTH,2019-01-11,Arriving by ambulance,95
Portsmouth Hospitals NHS Trust,South East of England Commissioning Region,RHU,2019-01-11,Arriving by ambulance,131
Royal Berkshire NHS Foundation Trust,South East of England Commissioning Region,RHW,2019-01-11,Arriving by ambulance,111
Royal Surrey County Hospital NHS Foundation Trust,South East of England Commissioning Region,RA2,2019-01-11,Arriving by ambulance,42
Surrey and Sussex Healthcare NHS Trust,South East of England Commissioning Region,RTP,2019-01-11,Arriving by ambulance,109
University Hospital Southampton NHS Foundation Trust,South East of England Commissioning Region,RHM,2019-01-11,Arriving by ambulance,138
Western Sussex Hospitals NHS Foundation Trust,South East of England Commissioning Region,RYR,2019-01-11,Arriving by ambulance,114
Dorset County Hospital NHS Foundation Trust,South West of England Commissioning Region,RBD,2019-01-11,Arriving by ambulance,46
Gloucestershire Hospitals NHS Foundation Trust,South West of England Commissioning Region,RTE,2019-01-11,Arriving by ambulance,130
Great Western Hospitals NHS Foundation Trust,South West of England Commissioning Region,RN3,2019-01-11,Arriving by ambulance,74
North Bristol NHS Trust,South West of England Commissioning Region,RVJ,2019-01-11,Arriving by ambulance,90
Northern Devon Healthcare NHS Trust,South West of England Commissioning Region,RBZ,2019-01-11,Arriving by ambulance,44
Poole Hospital NHS Foundation Trust,South West of England Commissioning Region,RD3,2019-01-11,Arriving by ambulance,64
Royal Cornwall Hospitals NHS Trust,South West of England Commissioning Region,REF,2019-01-11,Arriving by ambulance,109
Royal Devon and Exeter NHS Foundation Trust,South West of England Commissioning Region,RH8,2019-01-11,Arriving by ambulance,90
Royal United Hospitals Bath NHS Foundation Trust,South West of England Commissioning Region,RD1,2019-01-11,Arriving by ambulance,95
Salisbury NHS Foundation Trust,South West of England Commissioning Region,RNZ,2019-01-11,Arriving by ambulance,36
Taunton and Somerset NHS Foundation Trust,South West of England Commissioning Region,RBA,2019-01-11,Arriving by ambulance,85
The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,South West of England Commissioning Region,RDZ,2019-01-11,Arriving by ambulance,77
Torbay and South Devon NHS Foundation Trust,South West of England Commissioning Region,RA9,2019-01-11,Arriving by ambulance,85
University Hospitals Bristol NHS Foundation Trust,South West of England Commissioning Region,RA7,2019-01-11,Arriving by ambulance,102
University Hospitals Plymouth NHS Trust,South West of England Commissioning Region,RK9,2019-01-11,Arriving by ambulance,130
Weston Area Health NHS Trust,South West of England Commissioning Region,RA3,2019-01-11,Arriving by ambulance,32
Yeovil District Hospital NHS Foundation Trust,South West of England Commissioning Region,RA4,2019-01-11,Arriving by ambulance,36
ENGLAND,NA,NA,2019-01-11,Delay 30-60 mins,1330
"Barking, Havering and Redbridge University Hospitals NHS Trust",London Commissioning Region,RF4,2019-01-11,Delay 30-60 mins,0
Barts Health NHS Trust,London Commissioning Region,R1H,2019-01-11,Delay 30-60 mins,49
Chelsea and Westminster Hospital NHS Foundation Trust,London Commissioning Region,RQM,2019-01-11,Delay 30-60 mins,2
Croydon Health Services NHS Trust,London Commissioning Region,RJ6,2019-01-11,Delay 30-60 mins,17
Epsom and St Helier University Hospitals NHS Trust,London Commissioning Region,RVR,2019-01-11,Delay 30-60 mins,3
Guy's and St Thomas' NHS Foundation Trust,London Commissioning Region,RJ1,2019-01-11,Delay 30-60 mins,2
Homerton University Hospital NHS Foundation Trust,London Commissioning Region,RQX,2019-01-11,Delay 30-60 mins,0
Imperial College Healthcare NHS Trust,London Commissioning Region,RYJ,2019-01-11,Delay 30-60 mins,0
King's College Hospital NHS Foundation Trust,London Commissioning Region,RJZ,2019-01-11,Delay 30-60 mins,26
Kingston Hospital NHS Foundation Trust,London Commissioning Region,RAX,2019-01-11,Delay 30-60 mins,0
Lewisham and Greenwich NHS Trust,London Commissioning Region,RJ2,2019-01-11,Delay 30-60 mins,5
London North West University Healthcare NHS Trust,London Commissioning Region,R1K,2019-01-11,Delay 30-60 mins,0
North Middlesex University Hospital NHS Trust,London Commissioning Region,RAP,2019-01-11,Delay 30-60 mins,8
Royal Free London NHS Foundation Trust,London Commissioning Region,RAL,2019-01-11,Delay 30-60 mins,23
St George's University Hospitals NHS Foundation Trust,London Commissioning Region,RJ7,2019-01-11,Delay 30-60 mins,12
The Hillingdon Hospitals NHS Foundation Trust,London Commissioning Region,RAS,2019-01-11,Delay 30-60 mins,11
University College London Hospitals NHS Foundation Trust,London Commissioning Region,RRV,2019-01-11,Delay 30-60 mins,8
Whittington Health NHS Trust,London Commissioning Region,RKE,2019-01-11,Delay 30-60 mins,0
Basildon and Thurrock University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDD,2019-01-11,Delay 30-60 mins,16
Bedford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RC1,2019-01-11,Delay 30-60 mins,2
Birmingham Women's and Children's NHS Foundation Trust,Midlands And East Of England Commissioning Region,RQ3,2019-01-11,Delay 30-60 mins,4
Cambridge University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGT,2019-01-11,Delay 30-60 mins,1
Chesterfield Royal Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RFS,2019-01-11,Delay 30-60 mins,11
East and North Hertfordshire NHS Trust,Midlands And East Of England Commissioning Region,RWH,2019-01-11,Delay 30-60 mins,12
East Suffolk and North Essex NHS Foundation Trust,Midlands And East Of England Commissioning Region,RDE,2019-01-11,Delay 30-60 mins,1
George Eliot Hospital NHS Trust,Midlands And East Of England Commissioning Region,RLT,2019-01-11,Delay 30-60 mins,18
James Paget University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGP,2019-01-11,Delay 30-60 mins,0
Kettering General Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNQ,2019-01-11,Delay 30-60 mins,20
Luton and Dunstable University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RC9,2019-01-11,Delay 30-60 mins,12
Mid Essex Hospital Services NHS Trust,Midlands And East Of England Commissioning Region,RQ8,2019-01-11,Delay 30-60 mins,4
Milton Keynes University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RD8,2019-01-11,Delay 30-60 mins,6
Norfolk and Norwich University Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RM1,2019-01-11,Delay 30-60 mins,15
North West Anglia NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGN,2019-01-11,Delay 30-60 mins,0
Northampton General Hospital NHS Trust,Midlands And East Of England Commissioning Region,RNS,2019-01-11,Delay 30-60 mins,24
Nottingham University Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RX1,2019-01-11,Delay 30-60 mins,2
Sandwell and West Birmingham Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RXK,2019-01-11,Delay 30-60 mins,2
Sherwood Forest Hospitals NHS Foundation Trust,Midlands And East Of England Commissioning Region,RK5,2019-01-11,Delay 30-60 mins,25
Shrewsbury and Telford Hospital NHS Trust,Midlands And East Of England Commissioning Region,RXW,2019-01-11,Delay 30-60 mins,40
South Warwickshire NHS Foundation Trust,Midlands And East Of England Commissioning Region,RJC,2019-01-11,Delay 30-60 mins,1
Southend University Hospital NHS Foundation Trust,Midlands And East Of England Commissioning Region,RAJ,2019-01-11,Delay 30-60 mins,9
The Dudley Group NHS Foundation Trust,Midlands And East Of England Commissioning Region,RNA,2019-01-11,Delay 30-60 mins,26
The Princess Alexandra Hospital NHS Trust,Midlands And East Of England Commissioning Region,RQW,2019-01-11,Delay 30-60 mins,5
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",Midlands And East Of England Commissioning Region,RCX,2019-01-11,Delay 30-60 mins,4
The Royal Wolverhampton NHS Trust,Midlands And East Of England Commissioning Region,RL4,2019-01-11,Delay 30-60 mins,33
United Lincolnshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWD,2019-01-11,Delay 30-60 mins,29
University Hospitals Birmingham NHS Foundation Trust,Midlands And East Of England Commissioning Region,RRK,2019-01-11,Delay 30-60 mins,46
University Hospitals Coventry and Warwickshire NHS Trust,Midlands And East Of England Commissioning Region,RKB,2019-01-11,Delay 30-60 mins,31
University Hospitals of Derby and Burton NHS Foundation Trust,Midlands And East Of England Commissioning Region,RTG,2019-01-11,Delay 30-60 mins,21
University Hospitals of Leicester NHS Trust,Midlands And East Of England Commissioning Region,RWE,2019-01-11,Delay 30-60 mins,41
University Hospitals of North Midlands NHS Trust,Midlands And East Of England Commissioning Region,RJE,2019-01-11,Delay 30-60 mins,21
Walsall Healthcare NHS Trust,Midlands And East Of England Commissioning Region,RBK,2019-01-11,Delay 30-60 mins,1
West Hertfordshire Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWG,2019-01-11,Delay 30-60 mins,8
West Suffolk NHS Foundation Trust,Midlands And East Of England Commissioning Region,RGR,2019-01-11,Delay 30-60 mins,9
Worcestershire Acute Hospitals NHS Trust,Midlands And East Of England Commissioning Region,RWP,2019-01-11,Delay 30-60 mins,51
Wye Valley NHS Trust,Midlands And East Of England Commissioning Region,RLQ,2019-01-11,Delay 30-60 mins,5
Aintree University Hospital NHS Foundation Trust,North Of England Commissioning Region,REM,2019-01-11,Delay 30-60 mins,9
Airedale NHS Foundation Trust,North Of England Commissioning Region,RCF,2019-01-11,Delay 30-60 mins,0
Alder Hey Children's NHS Foundation Trust,North Of England Commissioning Region,RBS,2019-01-11,Delay 30-60 mins,0
Barnsley Hospital NHS Foundation Trust,North Of England Commissioning Region,RFF,2019-01-11,Delay 30-60 mins,1
Blackpool Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXL,2019-01-11,Delay 30-60 mins,2
Bolton NHS Foundation Trust,North Of England Commissioning Region,RMC,2019-01-11,Delay 30-60 mins,2
Bradford Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RAE,2019-01-11,Delay 30-60 mins,7
Calderdale and Huddersfield NHS Foundation Trust,North Of England Commissioning Region,RWY,2019-01-11,Delay 30-60 mins,7
City Hospitals Sunderland NHS Foundation Trust,North Of England Commissioning Region,RLN,2019-01-11,Delay 30-60 mins,3
Countess of Chester Hospital NHS Foundation Trust,North Of England Commissioning Region,RJR,2019-01-11,Delay 30-60 mins,0
County Durham and Darlington NHS Foundation Trust,North Of England Commissioning Region,RXP,2019-01-11,Delay 30-60 mins,1
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RP5,2019-01-11,Delay 30-60 mins,10
East Cheshire NHS Trust,North Of England Commissioning Region,RJN,2019-01-11,Delay 30-60 mins,10
East Lancashire Hospitals NHS Trust,North Of England Commissioning Region,RXR,2019-01-11,Delay 30-60 mins,33
Gateshead Health NHS Foundation Trust,North Of England Commissioning Region,RR7,2019-01-11,Delay 30-60 mins,0
Harrogate and District NHS Foundation Trust,North Of England Commissioning Region,RCD,2019-01-11,Delay 30-60 mins,0
Hull and East Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RWA,2019-01-11,Delay 30-60 mins,41
Lancashire Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RXN,2019-01-11,Delay 30-60 mins,3
Leeds Teaching Hospitals NHS Trust,North Of England Commissioning Region,RR8,2019-01-11,Delay 30-60 mins,8
Manchester University NHS Foundation Trust,North Of England Commissioning Region,R0A,2019-01-11,Delay 30-60 mins,33
Mid Cheshire Hospitals NHS Foundation Trust,North Of England Commissioning Region,RBT,2019-01-11,Delay 30-60 mins,0
Mid Yorkshire Hospitals NHS Trust,North Of England Commissioning Region,RXF,2019-01-11,Delay 30-60 mins,3
North Cumbria University Hospitals NHS Trust,North Of England Commissioning Region,RNL,2019-01-11,Delay 30-60 mins,18
North Tees and Hartlepool NHS Foundation Trust,North Of England Commissioning Region,RVW,2019-01-11,Delay 30-60 mins,0
Northern Lincolnshire and Goole NHS Foundation Trust,North Of England Commissioning Region,RJL,2019-01-11,Delay 30-60 mins,10
Northumbria Healthcare NHS Foundation Trust,North Of England Commissioning Region,RTF,2019-01-11,Delay 30-60 mins,19
Pennine Acute Hospitals NHS Trust,North Of England Commissioning Region,RW6,2019-01-11,Delay 30-60 mins,36
Royal Liverpool and Broadgreen University Hospitals NHS Trust,North Of England Commissioning Region,RQ6,2019-01-11,Delay 30-60 mins,0
Salford Royal NHS Foundation Trust,North Of England Commissioning Region,RM3,2019-01-11,Delay 30-60 mins,17
Sheffield Children's NHS Foundation Trust,North Of England Commissioning Region,RCU,2019-01-11,Delay 30-60 mins,0
Sheffield Teaching Hospitals NHS Foundation Trust,North Of England Commissioning Region,RHQ,2019-01-11,Delay 30-60 mins,15
South Tees Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTR,2019-01-11,Delay 30-60 mins,1
South Tyneside NHS Foundation Trust,North Of England Commissioning Region,RE9,2019-01-11,Delay 30-60 mins,6
Southport and Ormskirk Hospital NHS Trust,North Of England Commissioning Region,RVY,2019-01-11,Delay 30-60 mins,4
St Helens and Knowsley Hospital Services NHS Trust,North Of England Commissioning Region,RBN,2019-01-11,Delay 30-60 mins,5
Stockport NHS Foundation Trust,North Of England Commissioning Region,RWJ,2019-01-11,Delay 30-60 mins,11
Tameside and Glossop Integrated Care NHS Foundation Trust,North Of England Commissioning Region,RMP,2019-01-11,Delay 30-60 mins,11
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,North Of England Commissioning Region,RTD,2019-01-11,Delay 30-60 mins,1
The Rotherham NHS Foundation Trust,North Of England Commissioning Region,RFR,2019-01-11,Delay 30-60 mins,14
University Hospitals of Morecambe Bay NHS Foundation Trust,North Of England Commissioning Region,RTX,2019-01-11,Delay 30-60 mins,12
Warrington and Halton Hospitals NHS Foundation Trust,North Of England Commissioning Region,RWW,2019-01-11,Delay 30-60 mins,6
Wirral University Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RBL,2019-01-11,Delay 30-60 mins,11
"Wrightington, Wigan and Leigh NHS Foundation Trust",North Of England Commissioning Region,RRF,2019-01-11,Delay 30-60 mins,11
York Teaching Hospital NHS Foundation Trust,North Of England Commissioning Region,RCB,2019-01-11,Delay 30-60 mins,16
Ashford and St Peter's Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTK,2019-01-11,Delay 30-60 mins,18
Brighton and Sussex University Hospitals NHS Trust,South East of England Commissioning Region,RXH,2019-01-11,Delay 30-60 mins,18
Buckinghamshire Healthcare NHS Trust,South East of England Commissioning Region,RXQ,2019-01-11,Delay 30-60 mins,1
Dartford and Gravesham NHS Trust,South East of England Commissioning Region,RN7,2019-01-11,Delay 30-60 mins,0
East Kent Hospitals University NHS Foundation Trust,South East of England Commissioning Region,RVV,2019-01-11,Delay 30-60 mins,0
East Sussex Healthcare NHS Trust,South East of England Commissioning Region,RXC,2019-01-11,Delay 30-60 mins,7
Frimley Health NHS Foundation Trust,South East of England Commissioning Region,RDU,2019-01-11,Delay 30-60 mins,1
Hampshire Hospitals NHS Foundation Trust,South East of England Commissioning Region,RN5,2019-01-11,Delay 30-60 mins,10
Isle of Wight NHS Trust,South East of England Commissioning Region,R1F,2019-01-11,Delay 30-60 mins,0
Maidstone and Tunbridge Wells NHS Trust,South East of England Commissioning Region,RWF,2019-01-11,Delay 30-60 mins,21
Medway NHS Foundation Trust,South East of England Commissioning Region,RPA,2019-01-11,Delay 30-60 mins,5
Oxford University Hospitals NHS Foundation Trust,South East of England Commissioning Region,RTH,2019-01-11,Delay 30-60 mins,3
Portsmouth Hospitals NHS Trust,South East of England Commissioning Region,RHU,2019-01-11,Delay 30-60 mins,37
Royal Berkshire NHS Foundation Trust,South East of England Commissioning Region,RHW,2019-01-11,Delay 30-60 mins,13
Royal Surrey County Hospital NHS Foundation Trust,South East of England Commissioning Region,RA2,2019-01-11,Delay 30-60 mins,1
